"ID","a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q"
"sub58",,3,,,,,,,,,,4,,,1,5,2
"sub59",,,,4,,,1,,3,,5,2,,,,,
"sub60",,,,,,,,2,,,,1,3,5,,4,
"sub61",,,1,,,3,,2,4,,,,,5,,,
"sub62",1,2,,,,,,5,,4,,,,,,3,
"sub63",,2,,,3,,4,,,,,,,5,,,1
"sub64",,,5,,,1,2,,,,3,,,,,,4
"sub65",1,,3,2,,,,,,4,,,5,,,,
"sub66",,,,,,,1,,,,,2,,4,5,,3
"sub67",4,5,,,,,2,,1,,,,,3,,,
"sub68",3,,,2,5,,4,,,1,,,,,,,
"sub69",5,,1,,,,4,,,,,3,,,2,,
"sub70",,2,,,,5,1,,,,3,,4,,,,
"sub71",5,,,,4,2,,1,,,3,,,,,,
"sub72",5,,,4,1,,,,,,3,,,,,2,
"sub73",5,3,,,,,,,4,,,1,,,2,,
"sub74",,5,,2,,3,,,4,,,,,,,,1
"sub75",,,,,,,,,4,1,,5,2,,,,3
"sub76",,1,,,,,2,5,4,,,3,,,,,
"sub77",5,,,,,,3,,,,,,,1,2,,4
"sub78",4,,,,,,1,3,,2,,,,,,5,
"sub79",,,,3,,,,,,,4,1,5,,2,,
"sub80",,2,,,5,4,,,,,,,,,1,3,
"sub81",,,4,,,,2,,1,,,3,,,,,5
"sub82",5,,,,,,,2,4,,,3,,,,,1
"sub83",,2,,,,,4,5,1,,,,,,3,,
"sub84",,,,3,1,,,,,,2,,4,,,5,
"sub85",,,,1,4,,,5,,,,,,,2,,3
"sub86",,,3,,,,,5,1,,,2,4,,,,
"sub87",,,,,2,5,4,,,,,,1,,,3,
"sub88",,,,,,,,,,,,2,3,1,,4,5
"sub89",,,5,2,,,4,,,,,,,1,,3,
"sub90",,5,,1,,,,,,4,,3,,2,,,
"sub91",5,,,,,3,,,4,,2,,,1,,,
"sub92",,,,,,4,,5,,,2,,,,1,3,
"sub93",,,,,1,,,,,4,2,,5,,,3,
"sub94",1,,,,,,2,,,,,,4,5,,,3
"sub95",,,,,4,2,3,,,5,,1,,,,,
"sub96",,5,,2,,,1,,,,,3,,4,,,
"sub97",1,3,,,,,,4,2,,,,,,5,,
"sub98",,,5,,3,,,,,,1,,,2,4,,
"sub99",,,4,,,,,5,,,,,1,3,2,,
"sub100",,2,,,,4,5,,,3,,,1,,,,
"sub101",,3,,1,2,,,,,,4,,,,,,5
"sub102",1,,,2,,5,,,,,,3,,,,4,
"sub103",,3,,,,,5,,1,,,,,2,,,4
"sub104",,5,,4,,1,2,3,,,,,,,,,
"sub105",,,,2,5,,,3,4,,1,,,,,,
"sub106",,,,4,5,3,2,,,,,1,,,,,
"sub107",2,1,3,,,,,,5,,4,,,,,,
"sub108",,,4,,,,,,,1,,,5,,2,,3
"sub109",,4,,,,,,2,1,,,5,,3,,,
"sub110",,,,,3,,,,1,,,,,4,5,,2
"sub111",,,,,,3,,,4,1,,,,,,2,5
"sub112",,1,,,,,,,2,5,,,3,,,4,
"sub113",,,3,,,,,,,,1,5,,4,2,,
"sub114",,,,,1,3,,,,,5,,4,,2,,
"sub115",,1,,,4,2,,,,,3,5,,,,,
"sub116",,2,4,,,3,,5,1,,,,,,,,
"sub117",,,,,,2,,,,4,,1,,5,,3,
"sub118",,4,5,,,1,,,3,,,,,2,,,
"sub119",5,,,3,,,1,,,4,,,2,,,,
"sub120",1,2,4,,,,,,,,,,5,,,,3
"sub121",,2,,,,5,,,,,,1,3,,,,4
"sub122",3,,1,5,,,,,,,,4,,2,,,
"sub123",,1,3,,,,4,5,,,,,,,,2,
"sub124",,,2,,,4,,,,3,,,,,5,,1
"sub125",,,,2,,,,,,,4,1,,5,,,3
"sub126",,,,2,5,,3,,4,,,,,,,1,
"sub127",4,,,,,1,2,,,,,,5,3,,,
"sub128",,,,,1,4,,,,,,3,,,,2,5
"sub129",,,,3,1,2,,4,,,,5,,,,,
"sub130",4,,,,1,,,5,,3,2,,,,,,
"sub131",,,,,1,3,,,,5,2,,,,,,4
"sub132",,,,,2,,5,,,,3,,1,,,,4
"sub133",,4,,,,,,3,,,,,,1,,2,5
